,id,smiles,value_type,value,units
6,CHEMBL559612,CCCCCCC(C)(C)c1ccc([C@@H]2C[C@H](O)CC[C@H]2CCCO)c(O)c1,EC50,11.0,nM
22,CHEMBL2381801,Cc1c(C(=O)c2ccc3ccccc3c2)c2cccc3c2n1[C@H](CN1CCOCC1)CO3,Ki,4.56,nM
35,CHEMBL188,Cc1c(C(=O)c2cccc3ccccc23)c2cccc3c2n1[C@H](CN1CCOCC1)CO3,Ki,2.1,nM
36,CHEMBL1835216,CC(C)CN1C(=O)CN(Cc2ccc(-c3ccc(F)c(CN4CCOCC4)n3)cc2)C1=O,EC50,7.943,nM
176,CHEMBL1835131,CC(C)CN1C(=O)CN(Cc2ccc(-c3ccc(F)c(CN4CCCCC4)n3)cc2)C1=O,EC50,2.512,nM
202,CHEMBL57840,CCCCCCC(C)(C)c1cc(O)c([C@@H]2C=C(C)C3C[C@H]2C3(C)C)c(O)c1,Ki,41.2,nM
422,CHEMBL4175548,O=C(NC1(C(F)(F)F)CC1)c1nn(-c2c[n+]([O-])ccn2)c2c1C[C@@H]1C[C@H]21,EC50,5.9,nM
559,CHEMBL2179724,CCCCCCC(C)(C)c1cc(OC)c([C@H]2C=C(CO)[C@H]3C[C@@H]2C3(C)C)c(OC)c1,Ki,11.2,nM
588,CHEMBL497392,CCCCCCC(C)(C)c1cc(OC)c([C@H]2C=C(CO)[C@@H]3C[C@H]2C3(C)C)c(OC)c1,Ki,22.7,nM
602,CHEMBL1835135,O=C1CN(Cc2ccc(-c3ccc(F)c(CN4CCCCC4)n3)cc2)C(=O)N1CC(F)F,EC50,2.512,nM
1004,CHEMBL4102975,CCCCC(C)(C)c1ccc([C@@H]2C[C@H](O)CC[C@H]2CCCO)c(O)c1,EC50,85.0,nM
1100,CHEMBL1835220,CC(C)CN1C(=O)CN(Cc2ccc(-c3ccc(F)c(CN4CCS(=O)(=O)CC4)n3)cc2)C1=O,EC50,2.512,nM
1281,CHEMBL138917,CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(C(C)(C)CCCCCC#N)cc1OC2(C)C,Ki,2.9,nM
1327,CHEMBL1835213,CC(C)CN1C(=O)CN(Cc2ccc(-c3ccc(F)c(CN4CCCC(C)C4)n3)cc2)C1=O,EC50,2.512,nM
1357,CHEMBL4164926,CC1(NC(=O)c2nn(-c3c[n+]([O-])ccn3)c3c2C[C@@H]2C[C@H]32)CC1,EC50,91.0,nM
