ki,id,smiles
630.96,CHEMBL1828806,CCCCCn1cc(C(=O)Nc2ccc3ccccc3c2)c2ccccc21
1000.0,CHEMBL157591,C/N=C(\NS(=O)(=O)c1cccc(C(F)(F)F)c1)N1CC(c2ccccc2)C(c2ccc(Cl)cc2)=N1
1000.0,CHEMBL583855,CCc1c(C(=O)NN2CCCCC2)nc(-c2ccccc2Cl)n1-c1ccc(Cl)cc1
1578.0,CHEMBL590481,CC(C)CNC(=O)[C@@H]1CC[C@@H](c2ccc(Cl)cc2Cl)N(c2ccc(Cl)cc2)C1
7.8,CHEMBL2348469,CC1(C)Oc2cc(C34CC5CC(CC(C5)C3)C4)cc(O)c2[C@@H]2C[C@@H](CC=O)CC[C@H]21
338.0,CHEMBL2348458,CC1(C)Oc2cc(C34CC5CC(CC(C5)C3)C4)cc(O)c2[C@@H]2CC(=O)CC[C@H]21
20.0,CHEMBL597084,Cc1nc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(C)n1C1CCCCC1
790.0,CHEMBL478210,COc1ccc(C(C(=O)NCCC(c2ccccc2)c2ccccc2)c2ccccc2)cc1
330.0,CHEMBL1081304,CN/C(=N\S(=O)(=O)c1cccc(Cl)c1)C1=NN(c2ccc(Cl)cc2Cl)C(c2ccccc2)C1
1000.0,CHEMBL1080908,CN/C(=N\S(=O)(=O)N1CCC(C(F)(F)F)CC1)N1C[C@@H](c2ccccc2)C(c2ccc(Cl)cc2)=N1
1000.0,CHEMBL1080917,CN/C(=N\S(=O)(=O)N1CCC(F)(F)CC1)N1C[C@@H](c2ccccc2)C(c2ccc(Cl)cc2)=N1
23.0,CHEMBL385994,CCCCCn1cc(C(=O)c2cccc3ccccc23)cc1-c1cccc(OC)c1
1770.0,CHEMBL602049,CCCCCc1cc(NC(=O)c2ccncc2)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21
3.4,CHEMBL220352,CCCCCn1cc(C(=O)c2cccc3ccccc23)cc1-c1ccccc1CC
8.2,CHEMBL384897,CCCCCn1cc(C(=O)c2cccc3ccccc23)cc1-c1ccccc1C(F)(F)F
1000.0,CHEMBL1081213,CN/C(=N\S(=O)(=O)N1CCC(C(F)(F)F)CC1)N1CC(c2ccccc2)C(c2ccc(Cl)cc2)=N1
1110.0,CHEMBL284710,CCCCCNC(=O)c1nn(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2)c1C
10000.0,CHEMBL508042,COc1ccc2oc(=O)c(C)cc2c1
13.0,CHEMBL225506,CCCCCc1cc(O)cc(OCCCCCCCCCCC(=O)NC2CC2)c1
56.0,CHEMBL396628,Cc1cc(C)cc(-c2ccc(C(C)(C)CCCO)cc2O)c1
1000.0,CHEMBL234015,Cc1cc(C)cc(-c2ccc(C(C)(C)CCCCC(=O)O)cc2O)c1
5.5,CHEMBL233634,CCCCCCC1(c2ccc(-c3cc(C)cc(C)c3)c(O)c2)CCCC1
14.0,CHEMBL1950330,C=CCn1c2c(c3cc(C(=O)N4CCC(C)CC4)ccc31)CN(CC1CC1)CC2
1506.0,CHEMBL260005,CCCC(C)(C)c1ccc([C@@H]2CCC[C@@H](O)C2)cc1
0.8913,CHEMBL270546,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3cc(OCc4ccccc4)ccc23)C1(C)C
142.0,CHEMBL72324,COC(=O)Cc1c(C)n(C(=O)c2cccc3ccccc23)c2ccc(OC)cc12
1550.0,CHEMBL235698,CCCCn1cc(C(=O)c2cccc3ccccc23)c(=O)c2ccccc21
259.0,CHEMBL429986,CCCCCn1cc(C(=O)NC23CC4CC(C)(CC(C)(C4)C2)C3)c(=O)c2ncccc21
333.0,CHEMBL238048,CC12CC3CC(C)(C1)CC(NC(=O)c1cn(CCc4ccccc4)c4ccccc4c1=O)(C3)C2
25000.0,CHEMBL1269772,Cc1c(C(=O)NCCCCCCCCCCCN(C)CCCCCCCCCCCNC(=O)c2nn(-c3ccc(Cl)cc3Cl)c(-c3ccc(Cl)cc3)c2C)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1
30.9,CHEMBL392288,CCCCCn1cc(C(=O)NC23CC4CC(C)(CC(C)(C4)C2)C3)c(=O)c2cnccc21
