ki,id,smiles
3.981,CHEMBL2218896,CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)C1CCC(=O)CC21
48.0,CHEMBL570159,CCc1c(C(=O)NCCCCNc2c3c(nc4ccccc24)CCCC3)nc(-c2ccccc2Cl)n1-c1ccc(Cl)cc1
25.2,CHEMBL158784,CN/C(=N\S(=O)(=O)c1ccc(Cl)cc1)N1CC(c2ccccc2)C(c2ccc(Cl)cc2)=N1
560.0,CHEMBL502133,O=C(Cc1ccccc1)NCCC(c1ccccc1)c1ccccc1
280.0,CHEMBL1076584,CN/C(=N\S(=O)(=O)N1CCC(F)(F)CC1)C1=NN(c2ccc(Cl)cc2)[C@H](c2ccccc2)C1
141.0,CHEMBL1081650,CN/C(=N\S(=O)(=O)N1CCCCC1)C1=NN(c2ccc(Cl)cc2)C(c2ccccc2)C1
84.0,CHEMBL1081286,CN/C(=N\S(=O)(=O)c1ccc(Cl)cc1)C1=NN(c2ccc(Cl)cc2)C(c2ccccc2)C1
140.0,CHEMBL1080908,CN/C(=N\S(=O)(=O)N1CCC(C(F)(F)F)CC1)N1C[C@@H](c2ccccc2)C(c2ccc(Cl)cc2)=N1
97.9,CHEMBL49407,CCCCCCCN1C(=O)NC(c2ccc(Br)cc2)(c2ccc(Br)cc2)C1=O
691.83,CHEMBL569300,CC1(C)C(C(=O)c2cn(CCc3cccs3)c3ccccc23)C1(C)C
3100.0,CHEMBL594553,Cc1cc(NC(=O)C(C)(C)C)cc(S(=O)(=O)N2CCOCC2)c1C
353.0,CHEMBL380415,O=C1C(c2ccccc2)N(c2ccc(Cl)cc2)C(=O)N1c1ccc(Cl)cc1
10000.0,CHEMBL522123,O=C(CCCCCCCCCCOc1cc(O)cc(O)c1)NCC1CC1
3070.0,CHEMBL489623,CCCCCCCOc1cc(O)cc(OCCCCCCCCCCC(=O)NCCO)c1
34.0,CHEMBL1950344,CCn1c2c(c3cc(C(=O)N4CCC(C)CC4)ccc31)CN(C1CCCC1)CC2
17.0,CHEMBL1950350,CCS(=O)(=O)n1c2c(c3cc(C(=O)N4CCC(C)CC4)ccc31)CN(C1CCCC1)CC2
592.0,CHEMBL1950486,CC1CCN(C(=O)c2ccc3c(c2)c2c(n3S(=O)(=O)n3ccnc3)CCN(C3CCOCC3)C2)CC1
94.1,CHEMBL1269771,Cc1c(C(=O)NCCCCCCCCCN(C)CCCCCCCCCNC(=O)c2nn(-c3ccc(Cl)cc3Cl)c(-c3ccc(Cl)cc3)c2C)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1
1720.0,CHEMBL597907,CCCCCc1cc(C#N)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21
3000.0,CHEMBL602857,CCCCCc1cc(NC(C)=O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21
251.19,CHEMBL490245,CCCCOc1cc(O)cc(OCCCCCCCCCCC(=O)NC2CC2)c1
27.0,CHEMBL369205,Cc1c(C(=O)NN2CCCC2)nc(-c2ccc(Cl)cc2Cl)n1-c1ccc(Cl)cc1
2432.0,CHEMBL2381806,CCCCCn1cc(C(=O)NC2CCC(C)CC2)c(=O)n2nc(C)cc12
5700.0,CHEMBL457232,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@@H](NC=O)C(C)C
1100.0,CHEMBL396628,Cc1cc(C)cc(-c2ccc(C(C)(C)CCCO)cc2O)c1
160.0,CHEMBL391380,COC(=O)C(C)(C)c1ccc(-c2cc(C)cc(C)c2)c(O)c1
10000.0,CHEMBL2381796,CCCCCn1cc(C(=O)NC2CCCCCC2)c(=O)n2nc(-c3ccc(Cl)cc3)cc12
1.8,CHEMBL233636,CCCCCCC1(c2ccc(-c3cc(C)cc(C)c3)c(O)c2)CCCCC1
10000.0,CHEMBL2381788,CCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(=O)n2nc(-c3ccccc3C)cc12
613.0,CHEMBL2387530,CCCCCc1cc(OC)c2cc(Cc3ccc(Cl)cc3)c(=O)oc2c1
420.0,CHEMBL2381807,CCCCCn1cc(C(=O)NC2CCCCC2)c(=O)n2nc(CC)cc12
19.0,CHEMBL177393,Cc1c(C(=O)NC2CC3CCC2C3)nc(-c2ccc(Cl)cc2Cl)n1-c1ccc(Cl)cc1
5000.0,CHEMBL454864,CCOc1ccc(Cc2nc3cc(C(=O)N4CCCC4)ccc3n2CC2CC2)cc1
5000.0,CHEMBL452804,CCN(CC)C(=O)c1ccc2c(c1)nc(Cc1ccc(OC3CCCCC3)cc1)n2CCC(C)C
5000.0,CHEMBL486438,CCN(CC)C(=O)c1ccc2c(c1)nc(Cc1ccc(O)cc1)n2CCC(C)C
5000.0,CHEMBL472121,CCOc1ccc(Cc2nc3cc(C(=O)N(CC)CC)ccc3n2Cc2ccco2)cc1
491.0,CHEMBL471129,CCOc1ccc(Cc2nc3cc(C(=O)N(CC)CC)ccc3n2CC2CCCC2)cc1
850.0,CHEMBL454951,O=C(NC1CC1)c1cnn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1
1300.0,CHEMBL461737,O=C(NN1CCCCC1)c1cnn(-c2ccc(Cl)cc2Cl)c1-c1ccc(I)cc1
14.0,CHEMBL426585,CCc1c(C(=O)NN2CCCCC2)nc(-c2ccc(Cl)cc2Cl)n1-c1ccc(Cl)cc1
31.0,CHEMBL475610,CSC(=O)N1CC2(CCCCC2)CO/C1=N\c1cccc2ccccc12
626.0,CHEMBL1641942,CCCCCn1cc(C(=O)NCC23CC4CC(CC(C4)C2)C3)c(=O)cc1-c1ccccc1
560.0,CHEMBL250966,O=c1c2cn(Cc3ccccc3)c3cc(Cl)ccc3c-2nn1C1CCCCC1
1760.0,CHEMBL39878,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)Nc1ccc(O)cc1
10000.0,CHEMBL1822937,CCCCOc1c(OC)ccc2cc(C(=O)NCc3cn(CCF)nn3)c(=O)[nH]c12
294.0,CHEMBL1834006,Cc1c(C(=O)Nc2cc[n+]([O-])cc2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1
26.0,CHEMBL201924,CCC(CC)n1cnc2c(-c3ccc(Cl)cc3)n(-c3ccccc3Cl)nc2c1=O
650.0,CHEMBL75591,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCOC
2600.0,CHEMBL453106,CN1CCN(NC(=O)c2cnn(-c3ccc(Cl)cc3Cl)c2-c2ccc(Br)cc2)CC1
9820.0,CHEMBL2177258,CCCCCc1cc(O)c2cc(Cc3ccccc3O)c(=O)oc2c1
6.06,CHEMBL188,Cc1c(C(=O)c2cccc3ccccc23)c2cccc3c2n1[C@H](CN1CCOCC1)CO3
13.0,CHEMBL519863,COC(C)(C)CN1CCc2c(nn(-c3ccccc3Cl)c2-c2ccc(Cl)cc2)C1=O
1.3,CHEMBL482741,CC(C)N1CCOc2c(nn(-c3ccccc3Cl)c2-c2ccc(Cl)cc2)C1=O
0.7,CHEMBL520345,CCC(F)(F)CN1CCOc2c(nn(-c3ccccc3Cl)c2-c2ccc(Cl)cc2)C1=O
6.31,CHEMBL1828801,CCCCCn1cc(C(=O)c2ccccc2-c2ccccc2)c2ccccc21
1000.0,CHEMBL1828811,COCCn1cc(C(=O)c2cccc3ccccc23)c2ccncc21
1000.0,CHEMBL1828807,COCCn1cc(C(=O)Nc2cccc3ccccc23)c2ccccc21
20000.0,CHEMBL2179735,CCCCCCCC(=O)NC(NC(=O)CCCCCCC)c1ccc(N(CC)CC)cc1
20000.0,CHEMBL2179740,O=C(Cc1ccc(Cl)cc1)NC(NC(=O)Cc1ccc(Cl)cc1)c1ccc(C(F)(F)F)cc1
257.04,CHEMBL238781,C=C(C)C1CCC(C)=C[C@H]1c1c(O)cc(C2(C#N)CCCC2)cc1O
2380.0,CHEMBL1950356,CC1CCN(C(=O)c2ccc3c(c2)c2c(n3C(=O)N(C)C)CCN(C3CCOCC3)C2)CC1
170.0,CHEMBL158779,C/N=C(\NS(=O)(=O)c1ccccc1)N1CC(c2ccccc2)C(c2ccc(Cl)cc2)=N1
3.981,CHEMBL1682272,CN(CC(N)=O)Cc1nc(-c2cn(CC3CCOCC3)c3c(Cl)cccc23)no1
4585.0,CHEMBL2347045,O=C(NN1CCCCC1)c1cc(-c2ccccc2)n(-c2ccccc2)n1
829.4,CHEMBL328379,CCCCCCc1nc(-c2ccc(Cl)cc2)n(-c2ccc(Cl)cc2Cl)n1
124.1,CHEMBL1631164,CCCCCCNC(=O)c1nn(-c2ccc(Cl)cc2Cl)c(-n2cccc2)c1C
9.5,CHEMBL565742,Cc1c(-c2cnc(C(C)C)[nH]2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1
109.0,CHEMBL589842,O=C1[C@@H](Cc2ccc(F)c(F)c2)CC[C@H](c2ccc(Cl)cc2Cl)N1c1ccc(Cl)cc1
29.0,CHEMBL280454,O=C(NC1CCN(Cc2ccccc2)C1)c1nc(-c2ccc(Cl)cc2Cl)n(-c2ccc(Cl)cc2)n1
6296.0,CHEMBL381136,O=C1C(c2ccccc2)N(c2ccccc2)C(=O)N1c1ccccc1
5.4,CHEMBL558598,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1.Cl
18.0,CHEMBL140353,CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(C(C)(C)CCCCC(=O)Nc3ccc(Cl)cc3Cl)cc1OC2(C)C
1000.0,CHEMBL155752,CN(C)/C(=N\S(=O)(=O)c1ccc(F)cc1)N1CC(c2ccccc2)C(c2ccc(Cl)cc2)=N1
5.9,CHEMBL1087874,O=C(NC1CCCCC1)N1CCN(C(c2ccccc2)c2cc(Cl)ccc2Cl)CC1
5.8,CHEMBL1087644,O=C(C1CCCCC1)N1CCN(C(c2ccccc2)c2ccc(Cl)cc2Cl)CC1
0.15,CHEMBL1093735,Cc1ccc(C(c2ccc(Cl)cc2Cl)N2CCN(C(=O)NC3CCCCC3)CC2)cc1
0.74,CHEMBL111,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1
75.4,CHEMBL348550,C/N=C(\NS(=O)(=O)c1ccccc1Cl)N1CC(c2ccccc2)C(c2ccc(Cl)cc2)=N1
10000.0,CHEMBL2381672,CCCCCn1cc(C(=O)NC2CCCCC2)c(=O)n2nc(-c3ccco3)cc12
2200.0,CHEMBL476545,O=C(NCCCc1ccccc1)C(c1ccccc1)c1ccc(Cl)cc1
24.0,CHEMBL233637,COC(=O)CCCCC(C)(C)c1ccc(-c2cc(C)cc(C)c2)c(O)c1
1273.0,CHEMBL251004,CCS(=O)(=O)n1c2c(c3cc(C(=O)N4CCC(C)CC4)ccc31)CN(Cc1ccccc1)C2
779.0,CHEMBL399949,CCCCN(C)C(=O)c1ccc2c(c1)c1c(n2S(=O)(=O)CC)CN(C2CCCC2)C1
5000.0,CHEMBL381689,Cc1ccc(Cn2nc(C(=O)NC3C4(C)CCC(C4)C3(C)C)cc2-c2ccc(Cl)c(C)c2)cc1
840.0,CHEMBL181633,COc1ccc(C(=O)c2c(C)n(CCN3CCOCC3)c3cc(I)ccc23)cc1
2920.0,CHEMBL398446,COc1ccc2c(=O)c(C(=O)NC3CCCCC3)cn(CCN3CCOCC3)c2c1
2041.74,CHEMBL578178,CC1(C)C(C(=O)c2cn(Cc3cccnc3)c3ccccc23)C1(C)C
2818.38,CHEMBL270987,COc1cc2c(cc1OCc1ccccc1)c(C(=O)C1C(C)(C)C1(C)C)cn2CC1CCOCC1
389.05,CHEMBL259253,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3cccc(O)c23)C1(C)C
960.0,CHEMBL511253,O=C(NC1CCCCCC1)c1cc2cccnc2n(Cc2ccccc2)c1=O
1519.0,CHEMBL467681,C[C@H]1CC[C@@H](NC(=O)c2cc3cccnc3n(Cc3ccccc3)c2=O)CC1
360.0,CHEMBL233182,CCCCCCC(C)(C)c1ccc(-c2cc(C)cc(C)c2)c(CO)c1
560.0,CHEMBL475100,Cc1ccc(-c2nnn(CC3CCCCC3)n2)cc1S(=O)(=O)N1CCOCC1
5000.0,CHEMBL473696,Cc1ccc(-c2nn[nH]n2)cc1S(=O)(=O)N1CCOCC1
310.0,CHEMBL503518,Cc1ccc(-c2n[nH]c(CC3CCCCC3)n2)cc1S(=O)(=O)N1CCOCC1
530.0,CHEMBL473698,Cc1ccc(-c2n[nH]c(C(C)(C)C)n2)cc1S(=O)(=O)N1CCOCC1
25.2,CHEMBL1909843,Cc1c(C(=O)NCc2ccc(Cl)c(Cl)c2)nn(-c2ccc(Cl)cc2Cl)c1-n1cccc1Cl
3.0,CHEMBL1909850,CCc1c(C(=O)NC2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-n1cccc1
1251.0,CHEMBL246146,CNS(=O)(=O)c1cc(Cl)ccc1S(=O)(=O)c1ccc([C@H](C)NS(C)(=O)=O)cc1
3400.0,CHEMBL488933,CCCCCCC(C)(C)c1cc(O)cc(OCCCCCCCCCCC(=O)NCCc2ccc(O)c(O)c2)c1
1470.0,CHEMBL161521,CC/C=C/C/C=C\C/C=C\C/C=C\C/C=C/CCCC(=O)NCCO
10200.0,CHEMBL2387532,CCCCCc1cc(OC)c2cc(Cc3ccc(Br)cc3)c(=O)oc2c1
10000.0,CHEMBL2387536,COc1c(C)c(C)c2oc(=O)c(Cc3ccc(F)cc3)cc2c1C
10000.0,CHEMBL2387744,COc1ccccc1Cc1cc2c(C)ccc(C(C)C)c2oc1=O
5.5,CHEMBL485013,CC(C)N1CCc2c(nn(-c3ccccc3Cl)c2-c2ccc(Cl)cc2)C1=O
10000.0,CHEMBL411888,CC1(C)C(C(=O)c2cn(CCN3CCOCC3)c3cccc([N+](=O)[O-])c23)C1(C)C
10000.0,CHEMBL411673,CC1(C)C(C(=O)c2cn(CCN3CCOCC3)c3ccc(O)cc23)C1(C)C
1930.0,CHEMBL259463,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3ccc(Br)cc23)C1(C)C
2600.0,CHEMBL484393,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@@H]1CCC(=O)N1
1900.0,CHEMBL514886,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)CCNC=O
5000.0,CHEMBL517283,CCOc1ccc(Cc2nc3cc(N(C)C(=O)CC(C)C)ccc3n2CC2CC2)cc1
1.59,CHEMBL487464,CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(C(C)(C)c3cccc(Br)c3)cc1OC2(C)C
