,id,smiles,value_type,value,units
3,CHEMBL596626,Cc1nc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(Cl)n1-c1ccccc1,EC50,63.1,nM
4,CHEMBL597438,CCCCc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)nc(C)n1-c1ccccc1,EC50,5.012,nM
5,CHEMBL604120,CCc1nc(C(=O)NC23CC4CC(CC(C4)C2)C3)cn1-c1ccccc1,EC50,12.59,nM
7,CHEMBL2348469,CC1(C)Oc2cc(C34CC5CC(CC(C5)C3)C4)cc(O)c2[C@@H]2C[C@@H](CC=O)CC[C@H]21,Ki,7.8,nM
9,CHEMBL597084,Cc1nc(C(=O)NC23CC4CC(CC(C4)C2)C3)c(C)n1C1CCCCC1,Ki,20.0,nM
12,CHEMBL465274,O=C(NCC1CCCCC1)c1cnc(Nc2cccc(Cl)c2)cc1C(F)(F)F,EC50,31.62,nM
13,CHEMBL559612,CCCCCCC(C)(C)c1ccc([C@@H]2C[C@H](O)CC[C@H]2CCCO)c(O)c1,EC50,11.0,nM
18,CHEMBL385994,CCCCCn1cc(C(=O)c2cccc3ccccc23)cc1-c1cccc(OC)c1,Ki,23.0,nM
20,CHEMBL220352,CCCCCn1cc(C(=O)c2cccc3ccccc23)cc1-c1ccccc1CC,Ki,3.4,nM
21,CHEMBL596671,CSc1c(C(=O)NC23CC4CC(CC(C4)C2)C3)nc(C)n1-c1ccccc1,EC50,6.31,nM
22,CHEMBL583680,CC1(C)C(C(=O)c2cn(C[C@H]3CCCO3)c3ccccc23)C1(C)C,EC50,11.0,nM
29,CHEMBL384897,CCCCCn1cc(C(=O)c2cccc3ccccc23)cc1-c1ccccc1C(F)(F)F,Ki,8.2,nM
36,CHEMBL225506,CCCCCc1cc(O)cc(OCCCCCCCCCCC(=O)NC2CC2)c1,Ki,13.0,nM
38,CHEMBL396628,Cc1cc(C)cc(-c2ccc(C(C)(C)CCCO)cc2O)c1,Ki,56.0,nM
40,CHEMBL233634,CCCCCCC1(c2ccc(-c3cc(C)cc(C)c3)c(O)c2)CCCC1,Ki,5.5,nM
42,CHEMBL1950330,C=CCn1c2c(c3cc(C(=O)N4CCC(C)CC4)ccc31)CN(CC1CC1)CC2,Ki,14.0,nM
45,CHEMBL270546,CC1(C)C(C(=O)c2cn(CC3CCOCC3)c3cc(OCc4ccccc4)ccc23)C1(C)C,Ki,0.8913,nM
55,CHEMBL392288,CCCCCn1cc(C(=O)NC23CC4CC(C)(CC(C)(C4)C2)C3)c(=O)c2cnccc21,Ki,30.9,nM
61,CHEMBL465,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,EC50,1.5,nM
64,CHEMBL2336528,COc1ccc(S(=O)(=O)N(Cc2ccc(N3CCCCC3)cc2)c2ccccc2)cc1,EC50,49.0,nM
65,CHEMBL2381790,CCCCCn1cc(C(=O)NC2CCCCCC2)c(=O)n2nc(-c3ccc(C)cc3)cc12,Ki,10.3,nM
66,CHEMBL2381801,Cc1c(C(=O)c2ccc3ccccc3c2)c2cccc3c2n1[C@H](CN1CCOCC1)CO3,Ki,4.56,nM
74,CHEMBL41721,CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)C1CC=C(CO)C[C@H]21,Log Ki,0.21877616239495523,nM
78,CHEMBL474424,O=C(Cn1nc(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2Cl)n1)NCc1ccccc1,IC50,10.0,nM
