,id,pose,rmsd_value
0,CHEMBL420173,1,2.4056457178894823
1,CHEMBL4744733,8,3.0445981364541366
2,CHEMBL391134,2,1.3495470845188522
3,CHEMBL303479,2,2.4406297513824855
4,CHEMBL476325,1,2.7424571575267254
5,CHEMBL2071071,1,4.054606540713907
6,CHEMBL4776235,9,3.9601305376212035
7,CHEMBL3237113,8,3.856696854174567
8,CHEMBL234897,2,1.2767798628509999
9,CHEMBL5200844,2,2.7757190735014956
10,CHEMBL3809355,2,1.4046074670040867
11,CHEMBL108392,1,6.949252953281788
12,CHEMBL232410,1,1.8250064725912618
13,CHEMBL5176902,1,1.4403766601402992
14,CHEMBL5183623,6,3.309773545588418
