,id,pose,rmsd_value
0,CHEMBL4467516,1,9999.0
1,CHEMBL1760661,2,3.2118634777960287
2,CHEMBL2206839,6,1.1046766042602694
3,CHEMBL2206847,2,1.305283979318932
4,CHEMBL2206835,6,1.13822288385594
5,CHEMBL4475213,1,9999.0
6,CHEMBL3900016,1,9999.0
7,CHEMBL2022363,3,1.285982801092566
8,CHEMBL1760647,1,3.276175298764597
9,CHEMBL250768,2,1.5884659659558338
10,CHEMBL1760652,2,3.115748313897571
11,CHEMBL4519883,1,9999.0
12,CHEMBL2206860,9,1.200367721436505
13,CHEMBL1828632,7,3.923174065727902
14,CHEMBL4856192,1,9999.0
15,CHEMBL3260743,1,3.7876242126787854
16,CHEMBL1760653,4,3.082959998595696
17,CHEMBL3942960,1,9999.0
18,CHEMBL1760644,2,3.2676411081642223
19,CHEMBL3260753,3,6.1250598241976375
20,CHEMBL1760650,2,3.1372008317644453
21,CHEMBL1760670,5,3.2459650427605546
22,CHEMBL1760648,7,3.3120625615716723
23,CHEMBL3260754,3,3.858223051826716
24,CHEMBL1760660,4,3.207419441013014
25,CHEMBL1760651,3,3.2542928390593464
26,CHEMBL1801086,9,4.731831740985725
27,CHEMBL2206834,8,1.1995366327600558
28,CHEMBL1760658,4,3.183755680842064
29,CHEMBL3928040,1,9999.0
30,CHEMBL5173419,1,9999.0
31,CHEMBL3260744,1,3.7779262596733427
32,CHEMBL370560,1,9999.0
33,CHEMBL5268104,1,9999.0
34,CHEMBL427236,1,9999.0
35,CHEMBL1668395,4,1.7382966758678835
36,CHEMBL2206856,4,1.512004629622542
37,CHEMBL3959009,1,9999.0
38,CHEMBL3354949,3,1.6472187303010326
39,CHEMBL1760662,1,3.0668101687439204
40,CHEMBL4860950,1,9999.0
41,CHEMBL5186632,1,9999.0
42,CHEMBL1760646,1,3.258786412508948
43,CHEMBL3956678,1,9999.0
44,CHEMBL482741,1,9999.0
45,CHEMBL1760655,6,3.221602578914815
46,CHEMBL508336,1,9999.0
47,CHEMBL3260741,6,1.7957445285353666
48,CHEMBL467328,1,9999.0
49,CHEMBL524727,1,9999.0
50,CHEMBL561013,1,9999.0
51,CHEMBL1760649,7,3.1179962834373947
52,CHEMBL4438072,1,9999.0
53,CHEMBL3923909,1,9999.0
54,CHEMBL3260755,2,2.821901104238996
55,CHEMBL3234680,2,1.6994549661047749
56,CHEMBL2206838,9,1.32566189756916
57,CHEMBL5266788,1,9999.0
58,CHEMBL390675,1,9999.0
59,CHEMBL570908,1,9999.0
60,CHEMBL466110,1,9999.0
61,CHEMBL3900808,1,9999.0
62,CHEMBL4435655,1,9999.0
63,CHEMBL4516360,1,9999.0
64,CHEMBL285259,5,4.276628812511088
65,CHEMBL1760654,5,3.183719744538565
66,CHEMBL3938215,1,9999.0
67,CHEMBL1760657,2,3.1076436232117874
68,CHEMBL1420151,1,2.265413751760739
69,CHEMBL3353439,2,2.291576069510445
70,CHEMBL2206859,6,1.4762351664510183
71,CHEMBL1760656,1,3.132562069240937
72,CHEMBL497304,1,9999.0
73,CHEMBL1760663,4,3.1898775469766676
74,CHEMBL3109780,6,2.8878213587408763
75,CHEMBL2206850,5,1.3688293782158045
76,CHEMBL4469157,1,9999.0
77,CHEMBL4519310,1,9999.0
78,CHEMBL520345,1,9999.0
79,CHEMBL3931943,1,9999.0
80,CHEMBL2022360,3,1.4123847519355341
81,CHEMBL3422784,1,9999.0
82,CHEMBL4444832,1,9999.0
83,CHEMBL1224614,4,2.314222763694109
84,CHEMBL2296777,7,2.329337969252208
85,CHEMBL3932852,1,9999.0
86,CHEMBL244403,9,1.9933168616933712
87,CHEMBL4760014,1,9999.0
88,CHEMBL3354942,4,1.6565700420893243
89,CHEMBL4459965,1,9999.0
90,CHEMBL1760668,2,3.219471687163042
91,CHEMBL1760645,1,3.193669768187577
92,CHEMBL3260746,1,4.398466481501125
93,CHEMBL3914978,1,9999.0
94,CHEMBL2022361,1,1.7327079791980158
95,CHEMBL1224535,3,4.729464936780406
96,CHEMBL4083220,1,9999.0
97,CHEMBL4549096,1,9999.0
98,CHEMBL258753,1,9999.0
99,CHEMBL244402,4,6.007219055251587
100,CHEMBL1760664,4,3.106574551567119
101,CHEMBL1760665,1,3.2771302636156965
102,CHEMBL467896,1,9999.0
103,CHEMBL4069848,1,9999.0
104,CHEMBL4474739,1,9999.0
105,CHEMBL2206855,9,1.597025338976603
106,CHEMBL2206842,2,2.150478659895667
107,CHEMBL1828801,9,1.315292540337193
108,CHEMBL218649,1,9999.0
109,CHEMBL3354943,2,2.166295605907447
110,CHEMBL1801076,5,4.941859556381586
111,CHEMBL482742,1,9999.0
112,CHEMBL3354941,2,1.8294480916385685
113,CHEMBL1760659,4,3.1116826921250484
114,CHEMBL498748,1,9999.0
115,CHEMBL1828809,5,4.268978969782405
116,CHEMBL4779298,1,9999.0
117,CHEMBL306529,7,1.1333005485454126
118,CHEMBL482986,1,9999.0
119,CHEMBL2206846,3,1.5394481478763746
120,CHEMBL1828812,4,4.616659554747831
121,CHEMBL1828800,8,1.4422390000736127
