,id,pose,rmsd_value
0,CHEMBL487464,6,192.58195858108292
1,CHEMBL1259076,1,193.82444035597703
2,CHEMBL1259092,6,192.73616353803453
3,CHEMBL1259243,1,193.7830081046244
4,CHEMBL1259057,5,192.75591499966998
5,CHEMBL5080279,1,193.22740669341988
6,CHEMBL471295,1,193.48878904359177
7,CHEMBL85071,3,192.99234762845612
8,CHEMBL252949,5,193.213390320037
9,CHEMBL336670,6,192.39567352144184
10,CHEMBL108868,1,193.21920267070686
11,CHEMBL111340,3,192.42878308536456
12,CHEMBL5091754,5,192.3212865903044
13,CHEMBL411626,1,193.39740947650313
14,CHEMBL5071417,1,193.11223628205735
15,CHEMBL5081770,1,193.24527624364524
16,CHEMBL118631,1,193.380724333191
17,CHEMBL1259018,1,193.82490024464389
18,CHEMBL4591232,3,192.92106427128482
19,CHEMBL600602,9,180.77494181655203
20,CHEMBL19847,5,192.44421708534813
21,CHEMBL109393,3,192.62025445208295
22,CHEMBL5189892,2,192.75247487588265
23,CHEMBL59540,4,192.3377050442231
24,CHEMBL138917,3,192.98957131012102
25,CHEMBL4474156,3,193.38246142284083
26,CHEMBL394305,2,193.513779154526
27,CHEMBL1259244,1,193.66102471725813
28,CHEMBL4470925,3,192.95467560588912
29,CHEMBL420173,3,192.42793203672008
30,CHEMBL57802,3,192.48309511256076
31,CHEMBL108392,2,192.90294891390334
32,CHEMBL120669,1,193.46350524773592
33,CHEMBL1259091,1,193.9140980006353
34,CHEMBL432107,4,192.37456043874408
35,CHEMBL5085420,1,193.28906820605638
36,CHEMBL1259001,4,192.74077553982266
37,CHEMBL512531,1,193.5984520241527
