,id,pose,rmsd_value
0,CHEMBL3890640,1,9999.0
1,CHEMBL3410812,1,9999.0
2,CHEMBL4850004,1,9999.0
3,CHEMBL3943239,1,9999.0
4,CHEMBL2112293,3,1.6101884135941134
5,CHEMBL563929,1,9999.0
6,CHEMBL476100,1,9999.0
7,CHEMBL248015,1,3.969071354443841
8,CHEMBL3948314,1,9999.0
9,CHEMBL431363,1,9999.0
10,CHEMBL3919875,1,9999.0
11,CHEMBL3590630,1,9999.0
12,CHEMBL579249,1,9999.0
13,CHEMBL564901,1,9999.0
14,CHEMBL3927144,1,9999.0
15,CHEMBL254530,8,2.0493199359787626
16,CHEMBL232730,9,3.072680100498586
17,CHEMBL4783200,1,9999.0
18,CHEMBL1215991,5,2.301498769983441
19,CHEMBL2206858,2,1.2949722326495396
20,CHEMBL410842,1,9999.0
21,CHEMBL3590638,1,9999.0
22,CHEMBL556865,1,9999.0
23,CHEMBL259253,1,2.053644334501858
24,CHEMBL3959114,1,9999.0
25,CHEMBL403628,1,9999.0
26,CHEMBL3354957,1,9999.0
27,CHEMBL568807,1,9999.0
28,CHEMBL232411,9,1.9625824313898257
29,CHEMBL562489,1,9999.0
30,CHEMBL4439452,1,9999.0
31,CHEMBL256753,3,3.144131726327636
32,CHEMBL5091640,1,9999.0
33,CHEMBL1807842,7,2.402501890391209
34,CHEMBL498470,1,9999.0
35,CHEMBL4448509,1,9999.0
36,CHEMBL564622,1,9999.0
37,CHEMBL3085420,2,1.6951880918254079
38,CHEMBL3968525,1,9999.0
39,CHEMBL427843,1,9999.0
40,CHEMBL3926267,1,9999.0
41,CHEMBL564888,1,9999.0
42,CHEMBL591795,1,9999.0
43,CHEMBL539479,1,9999.0
44,CHEMBL3354971,1,9999.0
45,CHEMBL3586105,1,9999.0
46,CHEMBL2381812,2,2.2393459344830386
47,CHEMBL558801,1,9999.0
48,CHEMBL3967364,1,9999.0
49,CHEMBL2112290,4,1.0283654809939897
50,CHEMBL3942450,1,9999.0
51,CHEMBL2206834,1,1.3854925195536534
52,CHEMBL453472,1,9999.0
53,CHEMBL3354947,2,2.7383214810049847
54,CHEMBL3354529,2,5.428287916634706
55,CHEMBL1269867,1,1.0621928052644471
56,CHEMBL3940907,1,9999.0
57,CHEMBL3409151,1,9999.0
58,CHEMBL3647320,1,9999.0
59,CHEMBL3979953,1,9999.0
60,CHEMBL3354960,1,9999.0
61,CHEMBL2326299,4,4.05025282279655
62,CHEMBL361088,1,9999.0
63,CHEMBL188494,4,1.4808626938990048
64,CHEMBL4213900,1,9999.0
65,CHEMBL2381801,2,1.9039329360563093
66,CHEMBL190469,1,1.684833862093572
67,CHEMBL1270885,4,0.6309805420489958
68,CHEMBL3647325,1,9999.0
69,CHEMBL2206839,2,1.650706136779045
70,CHEMBL3590621,1,9999.0
71,CHEMBL565042,1,9999.0
72,CHEMBL3586106,1,9999.0
73,CHEMBL4103902,1,9999.0
74,CHEMBL1271093,2,0.6505317483071489
75,CHEMBL1095690,2,3.557291622036423
76,CHEMBL1668514,8,3.96235566298635
77,CHEMBL4852456,1,9999.0
78,CHEMBL2206861,4,1.4267945070042116
79,CHEMBL1828799,3,3.2196014201058842
80,CHEMBL3650101,1,9999.0
81,CHEMBL562549,1,9999.0
82,CHEMBL572000,1,9999.0
83,CHEMBL3357365,1,9999.0
84,CHEMBL3354949,4,4.068676377726135
85,CHEMBL3929481,1,9999.0
86,CHEMBL75733,1,9999.0
87,CHEMBL1765246,4,4.403413495129762
88,CHEMBL3686341,1,9999.0
89,CHEMBL3910524,1,9999.0
90,CHEMBL3353835,1,4.796826720680589
91,CHEMBL371575,1,9999.0
92,CHEMBL5204014,1,9999.0
93,CHEMBL1338358,2,2.718438951555347
94,CHEMBL3896334,1,9999.0
95,CHEMBL4644505,1,9999.0
96,CHEMBL1631294,8,2.0964130188144097
97,CHEMBL253058,3,4.046497003582234
98,CHEMBL2112289,3,1.704894736486684
99,CHEMBL4066866,1,9999.0
100,CHEMBL3914194,1,9999.0
101,CHEMBL552088,1,9999.0
102,CHEMBL370445,1,9999.0
103,CHEMBL562150,1,9999.0
104,CHEMBL3353823,1,2.7313550666290167
105,CHEMBL3409150,1,9999.0
106,CHEMBL2206843,2,0.8015337121211225
107,CHEMBL5184521,1,9999.0
108,CHEMBL1828811,9,2.2165242791361432
109,CHEMBL3960116,1,9999.0
110,CHEMBL1760931,8,3.671070504634854
111,CHEMBL395159,1,9999.0
112,CHEMBL409669,1,9999.0
113,CHEMBL4216075,1,9999.0
114,CHEMBL3234681,3,2.7002514929169097
115,CHEMBL5186682,1,9999.0
116,CHEMBL564066,1,9999.0
117,CHEMBL2206836,5,1.4504380897418245
118,CHEMBL382676,1,9999.0
119,CHEMBL1800694,5,5.440906962210305
120,CHEMBL240100,1,9999.0
121,CHEMBL3409149,1,9999.0
122,CHEMBL248137,6,3.46262124828733
123,CHEMBL551351,1,9999.0
124,CHEMBL250609,4,2.6359995784858876
125,CHEMBL406924,1,9999.0
126,CHEMBL3354951,4,3.4844835676658508
127,CHEMBL572887,1,9999.0
128,CHEMBL4581598,1,9999.0
129,CHEMBL579241,1,9999.0
130,CHEMBL73206,1,9999.0
131,CHEMBL3985919,1,9999.0
132,CHEMBL460754,1,9999.0
133,CHEMBL2387179,4,3.303423199248521
134,CHEMBL4070881,1,9999.0
135,CHEMBL556101,1,9999.0
136,CHEMBL2387073,4,3.085279496484649
137,CHEMBL482153,1,9999.0
138,CHEMBL71810,1,9999.0
139,CHEMBL232336,5,4.408779897184502
140,CHEMBL1668513,3,4.110655130268167
141,CHEMBL3400942,1,9999.0
142,CHEMBL3958413,1,9999.0
143,CHEMBL3354966,1,9999.0
144,CHEMBL3650113,1,9999.0
145,CHEMBL3897056,1,9999.0
146,CHEMBL72374,1,9999.0
147,CHEMBL399346,1,9999.0
148,CHEMBL3114180,2,3.1188139017655665
149,CHEMBL3354954,7,2.814555595471513
150,CHEMBL1592888,1,1.9620912950217175
151,CHEMBL4069848,1,9999.0
152,CHEMBL496781,1,9999.0
153,CHEMBL3696823,1,9999.0
154,CHEMBL410243,1,9999.0
155,CHEMBL2206847,2,0.7745766854654653
156,CHEMBL2206860,5,1.4686292077988916
157,CHEMBL3650111,1,9999.0
158,CHEMBL2206842,2,2.43478994719391
159,CHEMBL4439977,1,9999.0
160,CHEMBL3354946,1,5.452208317125579
161,CHEMBL2336545,9,4.7826162520408975
162,CHEMBL552150,1,9999.0
163,CHEMBL4780771,1,9999.0
164,CHEMBL2206855,5,1.5027164244041233
165,CHEMBL432750,1,9999.0
166,CHEMBL4872695,1,9999.0
167,CHEMBL3353429,9,3.5439936424181124
168,CHEMBL232410,1,6.6280309972117655
169,CHEMBL271824,4,3.55033415094035
170,CHEMBL3590634,1,9999.0
171,CHEMBL4438072,1,9999.0
172,CHEMBL574480,1,9999.0
173,CHEMBL239208,4,2.827206386169924
174,CHEMBL1909844,2,2.2060308660166528
175,CHEMBL2163938,9,2.7068771939002225
176,CHEMBL1807841,7,2.3833556176114383
177,CHEMBL187559,5,1.6780979028139482
178,CHEMBL3970254,1,9999.0
179,CHEMBL4866238,1,9999.0
180,CHEMBL1909846,1,2.246105902951312
181,CHEMBL576920,1,9999.0
182,CHEMBL3904362,1,9999.0
183,CHEMBL385994,1,9999.0
184,CHEMBL238972,5,2.565704532872014
185,CHEMBL4647926,1,9999.0
186,CHEMBL3647332,1,9999.0
187,CHEMBL3353842,7,4.652004111133179
188,CHEMBL561349,1,9999.0
189,CHEMBL5282889,1,9999.0
190,CHEMBL3354942,3,2.825867925670507
191,CHEMBL250809,4,2.6172780389812114
192,CHEMBL4084719,1,9999.0
193,CHEMBL408430,1,9999.0
194,CHEMBL576087,1,9999.0
195,CHEMBL4796229,1,9999.0
196,CHEMBL1800174,3,2.4252402384682874
197,CHEMBL3354962,1,9999.0
198,CHEMBL254730,3,1.9087824422297859
199,CHEMBL4516360,1,9999.0
200,CHEMBL474602,1,9999.0
201,CHEMBL243334,6,1.3095476929077459
202,CHEMBL4870368,1,9999.0
203,CHEMBL4089773,1,9999.0
204,CHEMBL480539,1,9999.0
205,CHEMBL3114519,5,2.631048089640324
206,CHEMBL1828812,8,3.024229086100686
207,CHEMBL2206833,2,1.4275222706960944
208,CHEMBL3650084,1,9999.0
209,CHEMBL550949,1,9999.0
210,CHEMBL3354965,1,9999.0
211,CHEMBL3650109,1,9999.0
212,CHEMBL75326,1,9999.0
213,CHEMBL502263,1,9999.0
214,CHEMBL574052,1,9999.0
215,CHEMBL574270,1,9999.0
216,CHEMBL3354956,1,9999.0
217,CHEMBL571323,1,9999.0
218,CHEMBL598463,1,9999.0
219,CHEMBL259255,3,3.6758299402991974
220,CHEMBL3400946,1,9999.0
221,CHEMBL2326290,3,4.186404637121726
222,CHEMBL602591,1,9999.0
223,CHEMBL2206846,9,1.2271626872055574
224,CHEMBL3590293,1,9999.0
225,CHEMBL74662,1,9999.0
226,CHEMBL2112291,4,1.528293370070027
227,CHEMBL497811,1,9999.0
228,CHEMBL2152804,4,2.3305692690085524
229,CHEMBL3354964,1,9999.0
230,CHEMBL3686311,1,9999.0
231,CHEMBL2206859,3,1.5703357713503852
232,CHEMBL361032,1,9999.0
233,CHEMBL391134,1,9999.0
234,CHEMBL3949331,1,9999.0
235,CHEMBL256752,1,3.16967594952544
236,CHEMBL80439,1,9999.0
237,CHEMBL527031,1,9999.0
238,CHEMBL250607,1,2.7169070445800845
239,CHEMBL2387076,2,3.6258079444449347
240,CHEMBL3966730,1,9999.0
241,CHEMBL2206835,3,1.6509367290521262
242,CHEMBL575382,1,9999.0
243,CHEMBL3354408,8,4.103075143884601
244,CHEMBL591572,1,9999.0
245,CHEMBL3647321,1,9999.0
246,CHEMBL197955,4,2.2326300634005625
247,CHEMBL519575,1,9999.0
248,CHEMBL561090,1,9999.0
249,CHEMBL2206854,4,0.7423252038920227
250,CHEMBL3354959,1,9999.0
251,CHEMBL5193683,1,9999.0
252,CHEMBL2206856,3,0.7266790614386336
253,CHEMBL570198,1,9999.0
254,CHEMBL408964,1,9999.0
255,CHEMBL73711,1,9999.0
256,CHEMBL2206857,4,1.3985615747119857
257,CHEMBL2381779,1,7.041649030056808
258,CHEMBL1909957,3,3.453824279526415
259,CHEMBL473063,1,9999.0
260,CHEMBL394006,1,9999.0
261,CHEMBL575395,1,9999.0
262,CHEMBL4777097,1,9999.0
263,CHEMBL245449,2,2.812361392140064
264,CHEMBL1760932,5,3.6972341839692966
265,CHEMBL602105,1,9999.0
266,CHEMBL1760930,6,3.508419354698217
267,CHEMBL232928,5,3.122757304341498
268,CHEMBL204387,5,3.344975540780687
269,CHEMBL4863350,1,9999.0
270,CHEMBL524822,1,9999.0
271,CHEMBL596133,1,9999.0
272,CHEMBL3354407,4,3.311095146121094
273,CHEMBL2206837,5,1.665912475191899
274,CHEMBL3686312,1,9999.0
275,CHEMBL1629731,4,3.0360120373458814
276,CHEMBL3918668,1,9999.0
277,CHEMBL3899824,1,9999.0
278,CHEMBL2326297,1,2.071191237635275
279,CHEMBL244403,2,1.9395417087549318
280,CHEMBL583654,1,9999.0
281,CHEMBL5195978,1,9999.0
282,CHEMBL582810,1,9999.0
283,CHEMBL3357338,1,9999.0
284,CHEMBL480541,1,9999.0
285,CHEMBL4856531,1,9999.0
286,CHEMBL253472,1,2.2358352170155693
287,CHEMBL3421694,1,9999.0
288,CHEMBL3650085,1,9999.0
289,CHEMBL540759,1,9999.0
290,CHEMBL4846991,1,9999.0
291,CHEMBL1800175,4,2.0802757479478533
292,CHEMBL2206838,6,1.4243827648738117
293,CHEMBL3354955,6,2.271560793265283
294,CHEMBL261382,6,3.502255868246446
295,CHEMBL67006,1,9999.0
296,CHEMBL3354968,1,9999.0
297,CHEMBL1909856,1,2.113865803773654
298,CHEMBL4074423,1,9999.0
299,CHEMBL2387742,7,2.7261790206498877
300,CHEMBL3354948,2,2.740358224758216
301,CHEMBL308777,1,2.108976403516226
302,CHEMBL467029,1,9999.0
303,CHEMBL3940691,1,9999.0
304,CHEMBL1277592,4,6.378204804159986
305,CHEMBL3590632,1,9999.0
306,CHEMBL3092895,3,3.8732194116924377
307,CHEMBL3986505,1,9999.0
308,CHEMBL570690,1,9999.0
309,CHEMBL3780166,1,9999.0
310,CHEMBL4129909,1,9999.0
311,CHEMBL578179,1,9999.0
312,CHEMBL3910469,1,9999.0
313,CHEMBL252878,5,1.908683762670588
314,CHEMBL477993,1,9999.0
315,CHEMBL392416,1,9999.0
316,CHEMBL3353438,7,2.7761602019095846
317,CHEMBL561089,1,9999.0
318,CHEMBL3234035,6,4.277128380329281
319,CHEMBL2380413,7,1.7955487716306535
320,CHEMBL396153,1,9999.0
321,CHEMBL570683,1,9999.0
322,CHEMBL2206850,5,1.0334469970212183
323,CHEMBL3354958,1,9999.0
324,CHEMBL565194,1,9999.0
325,CHEMBL539994,1,9999.0
326,CHEMBL592264,1,9999.0
327,CHEMBL3647327,1,9999.0
328,CHEMBL516057,1,9999.0
329,CHEMBL3234695,3,1.1346376624279666
330,CHEMBL429797,1,9999.0
331,CHEMBL569299,1,9999.0
332,CHEMBL3920679,1,9999.0
333,CHEMBL4519981,1,9999.0
334,CHEMBL1076685,7,2.181322343594973
335,CHEMBL2206851,1,0.8260605304697713
336,CHEMBL244402,1,1.3842320036756843
337,CHEMBL3901140,1,9999.0
338,CHEMBL3650095,1,9999.0
339,CHEMBL271814,1,2.0040232932778004
340,CHEMBL3960865,1,9999.0
341,CHEMBL402734,1,9999.0
342,CHEMBL3353424,9,2.3948962260050712
343,CHEMBL3354950,8,2.776030511359701
344,CHEMBL1223775,6,3.7405437355416655
345,CHEMBL108085,4,3.343485243189892
346,CHEMBL2204894,2,2.5798156523286697
347,CHEMBL3923684,1,9999.0
348,CHEMBL3354952,3,2.793093386671249
349,CHEMBL371040,1,9999.0
350,CHEMBL3354406,4,3.455451698041806
351,CHEMBL3960124,1,9999.0
352,CHEMBL2380417,3,1.0040447159696957
353,CHEMBL404650,1,9999.0
354,CHEMBL480540,1,9999.0
355,CHEMBL570877,1,9999.0
356,CHEMBL1631297,5,3.337878767520874
357,CHEMBL571342,1,9999.0
358,CHEMBL3590631,1,9999.0
359,CHEMBL564543,1,9999.0
360,CHEMBL3104358,2,6.869435074159682
361,CHEMBL3410727,1,9999.0
362,CHEMBL1909858,2,2.2893141886917694
363,CHEMBL584528,1,9999.0
364,CHEMBL3906383,1,9999.0
365,CHEMBL2206853,6,0.8263453325914366
366,CHEMBL306529,2,0.9864425984313535
367,CHEMBL3590633,1,9999.0
368,CHEMBL253059,7,2.4119569855202645
369,CHEMBL3907722,1,9999.0
370,CHEMBL3354961,1,9999.0
371,CHEMBL125061,6,1.8861867219339659
372,CHEMBL111702,1,3.089292267540531
373,CHEMBL3410823,1,9999.0
374,CHEMBL232131,7,3.0574494866859805
375,CHEMBL3978407,1,9999.0
376,CHEMBL571095,1,9999.0
377,CHEMBL402938,1,9999.0
378,CHEMBL256962,4,3.2995133826823615
379,CHEMBL252279,2,2.0199530716738705
380,CHEMBL562704,1,9999.0
381,CHEMBL557627,1,9999.0
382,CHEMBL72163,1,9999.0
383,CHEMBL3639461,1,9999.0
384,CHEMBL3093378,4,2.756899025226372
385,CHEMBL245909,1,3.0221121091051537
386,CHEMBL4089341,1,9999.0
387,CHEMBL4866198,1,9999.0
388,CHEMBL562350,1,9999.0
389,CHEMBL4519883,1,9999.0
390,CHEMBL3410832,1,9999.0
391,CHEMBL3234696,5,1.7681585760332696
392,CHEMBL3353833,6,5.164499360737575
393,CHEMBL3647323,1,9999.0
394,CHEMBL2152818,9,2.7178413254986453
395,CHEMBL188,1,1.4327783651877217
396,CHEMBL3900956,1,9999.0
397,CHEMBL3353836,8,4.966845809968334
398,CHEMBL3085421,7,1.878739835733083
399,CHEMBL3669117,1,9999.0
400,CHEMBL5192105,1,9999.0
401,CHEMBL1215888,5,2.4790419095839598
402,CHEMBL2112286,3,1.2798813189027296
403,CHEMBL3941942,1,9999.0
404,CHEMBL2380416,1,1.5148198773681198
405,CHEMBL2380408,1,1.8350315481235453
406,CHEMBL393188,1,9999.0
