,id,pose,rmsd_value
0,CHEMBL4760014_8GUT,1,9999.0
1,CHEMBL3353863_8GUT,6,4.664596963654344
2,CHEMBL3953330_5ZTY,1,5.444322994337006
3,CHEMBL3354950_8GUQ,2,1.3538997486563638
4,CHEMBL3925284_5ZTY,2,2.7196513747169875
5,CHEMBL219970_6PT0,8,2.102938895926365
6,CHEMBL4089308_8GUR,1,5.258000375089797
7,CHEMBL3354948_8GUQ,2,1.1077005105409274
8,CHEMBL3114528_5ZTY,2,4.939492025164801
9,CHEMBL3235055_8GUQ,2,1.2318010320699913
10,CHEMBL3354961_8GUQ,1,1.8233381063313518
11,CHEMBL2022360_5ZTY,6,1.7282558094382738
12,CHEMBL2380327_5ZTY,7,16.185217911944928
13,CHEMBL3354968_8GUQ,3,1.2455443923575482
14,CHEMBL1765161_5ZTY,3,2.3154126657034593
15,CHEMBL375791_6PT0,2,1.9020237342668167
16,CHEMBL5093228_5ZTY,1,9999.0
17,CHEMBL3234679_5ZTY,1,2.177997893371206
18,CHEMBL3422790_8GUT,1,2.160230093197379
19,CHEMBL2163965_6PT0,3,4.193152266891024
20,CHEMBL2316283_5ZTY,2,1.8296751077718691
21,CHEMBL4458732_5ZTY,1,9999.0
22,CHEMBL5076422_5ZTY,1,9999.0
23,CHEMBL381689_5ZTY,1,6.930771241355467
24,CHEMBL502276_5ZTY,1,9999.0
25,CHEMBL3353431_5ZTY,1,2.0303930517130033
26,CHEMBL3909299_6KPF,1,5.106932595338745
27,CHEMBL3116288_5ZTY,4,2.218236305647419
28,CHEMBL1631297_5ZTY,2,3.7689622112724877
29,CHEMBL374982_6PT0,5,2.0557438174191702
30,CHEMBL514706_8GUT,1,9999.0
31,CHEMBL220180_6PT0,3,1.7566600411007247
32,CHEMBL1668515_5ZTY,1,4.612109937049264
33,CHEMBL3114178_8GUT,5,2.4983567099195425
34,CHEMBL1765284_5ZTY,1,5.0696004014881915
35,CHEMBL3354952_8GUQ,4,1.0607523011732969
36,CHEMBL3234680_5ZTY,1,1.5254504981225125
37,CHEMBL250768_5ZTY,1,1.8123428601832332
38,CHEMBL2381810_8GUR,1,3.658301469651885
39,CHEMBL271824_5ZTY,2,3.9796350514660443
40,CHEMBL4161266,1,0.8161610849989521
41,CHEMBL118028_6KPF,3,2.6815147253412985
42,CHEMBL250767_5ZTY,2,2.2963608010439973
43,CHEMBL3400948_8GUQ,2,14.913817728226707
44,CHEMBL604120_5ZTY,1,9999.0
45,CHEMBL4756103_8GUT,1,9999.0
46,CHEMBL2163963_6PT0,2,4.528730679939863
47,CHEMBL4162987,2,1.3751396147300825
48,CHEMBL4781952_8GUT,1,9999.0
49,CHEMBL216276_8GUQ,1,3.5645276585504893
50,CHEMBL177393_5ZTY,2,6.540194451355285
51,CHEMBL4640659_5ZTY,1,9999.0
52,CHEMBL3921132_5ZTY,1,2.899164953667078
53,CHEMBL3650138_5ZTY,3,4.626617207605821
54,CHEMBL2087089_5ZTY,6,3.387398854578539
55,CHEMBL1909855_5ZTY,1,3.7656964131738606
56,CHEMBL2152800_5ZTY,3,2.0228251283786247
57,CHEMBL3354947_8GUQ,1,1.299916333340039
58,CHEMBL3930443_8GUT,1,1.985713103500041
59,CHEMBL3647327_8GUR,1,5.683849141793496
60,CHEMBL467681_8GUT,1,9999.0
61,CHEMBL3421696_8GUR,2,1.9113944984150781
62,CHEMBL4164954_8GUT,1,9999.0
63,CHEMBL3354949_8GUQ,1,1.3931392608063273
64,CHEMBL3353835_6PT0,2,4.4503633691696525
65,CHEMBL3899976_8GUT,1,1.9663803993632565
66,CHEMBL1223591_8GUR,1,4.946317100342724
67,CHEMBL2336567_5ZTY,6,2.352482412261567
68,CHEMBL2163961_6PT0,2,2.173187044083281
69,CHEMBL3234706_8GUQ,3,4.096917855738222
70,CHEMBL3114521_5ZTY,1,4.801738962778658
71,CHEMBL2381785_5ZTY,1,9.841591955282727
