,id,pose,rmsd_value
0,CHEMBL4791274_5ZTY,9,4.438261934586556
1,CHEMBL1835218,6,1.5203250420003394
2,CHEMBL1835213,3,1.5678109154699325
3,CHEMBL3354953_8GUQ,9,4.271686669220953
4,CHEMBL4475022_6KPF,2,2.4261189329715633
5,CHEMBL1835131,2,1.4437676059532574
6,CHEMBL1800166_8GUQ,9,3.9745221905100925
7,CHEMBL1835216,5,1.4803132473719296
8,CHEMBL3950558_5ZTY,1,4.635838111927551
9,CHEMBL3354964_8GUQ,8,3.5774590517106786
10,CHEMBL4783200_5ZTY,6,4.317397732641525
11,CHEMBL2152808_5ZTY,7,5.49680650317376
12,CHEMBL3669102_8GUT,2,5.924347305821967
13,CHEMBL4473677_5ZTY,7,2.08585412827562
14,CHEMBL432107_6KPF,3,2.817636775739556
15,CHEMBL4796229_5ZTY,4,4.161170606714151
16,CHEMBL338484_6KPF,3,2.235894658313965
17,CHEMBL3099056_8GUT,9,5.334822952388705
18,CHEMBL396628_8GUR,2,1.5651278394579
19,CHEMBL1259076_6KPF,2,2.302860896296671
20,CHEMBL4783221_5ZTY,2,4.804879915252826
21,CHEMBL1835135,2,1.3981446251576206
22,CHEMBL4760082_6KPF,1,2.3785113131256423
23,CHEMBL234897_8GUR,6,1.703133435758925
24,CHEMBL5077315_6KPF,3,5.963640840244202
25,CHEMBL1277685_8GUR,5,2.865397341221095
26,CHEMBL3911641_8GUQ,3,5.829222264958312
27,CHEMBL3669058_8GUS,9,2.1421977966565087
28,CHEMBL334533_6KPF,5,1.8282124729237152
29,CHEMBL3894398_8GUQ,3,4.425902005523846
30,CHEMBL1835215,2,2.0085448464
31,CHEMBL3669057_8GUS,6,2.101238825074389
32,CHEMBL331838_8GUR,1,2.1639230044599023
33,CHEMBL4588694_8GUS,8,2.5836896374868914
34,CHEMBL4079650_5ZTY,7,5.508308600909824
35,CHEMBL2181544_8GUR,6,2.110845146089412
36,CHEMBL3669059_8GUT,7,3.4230058525609723
37,CHEMBL234675_8GUR,1,1.5154968720623507
38,CHEMBL5092703_6KPF,1,7.9241133636514824
39,CHEMBL261495_8GUR,7,2.9877283240719095
40,CHEMBL4113646_8GUQ,7,4.118703565747357
41,CHEMBL1835220,3,1.4581527756862034
42,CHEMBL307696_6KPF,3,2.2323853403237326
43,CHEMBL4578071_5ZTY,4,2.4614637386811338
